Tiempo (s),Angulo (grados),Posicion del Carro (m),Velocidad del Carro (m/s),Fuerza (N),Aceleracion del Carro (m/s^2),Aceleración del Péndulo (rad/s^2)
0.159,26.68509678374484,0.12901158814926,1.2946581336984349,-12.440380526862102,-5.026876239400751,-0.09670458918567193
0.16,26.6602343928572,0.1303112673798216,1.2996792305616092,-12.425984925176268,-5.021096863174274,-0.09627982456257306
0.161,26.63536652020368,0.13161596194993908,1.304694570117478,-12.411644876940418,-5.01533955586865,-0.0958765171410515
0.162,26.61049318715683,0.132925666123138,1.3097041731989132,-12.397357279023526,-5.0096030814351975,-0.09549340036524541
0.163,26.585614414034893,0.13424037418261314,1.3147080594751555,-12.383119210111138,-5.0038862762422935,-0.09512928138327241
0.164,26.560730220164146,0.1355600804301332,1.3197062475200714,-12.368927920261529,-4.9981880449159934,-0.09478303684943763
0.165,26.535840623937666,0.1368847791850097,1.3246987548764846,-12.354780821045996,-4.992507356413283,-0.0944536089590777
0.166,26.51094564287059,0.1382144647831265,1.3296855981168,-12.340675476242012,-4.9868432403154745,-0.09414000170372218
0.167,26.486045293652197,0.1395491315760266,1.33466679290013,-12.326609593049119,-4.981194783329782,-0.093841277334703
0.168,26.461139592194925,0.14088877393005272,1.3396423540261178,-12.312581013799395,-4.975561125987846,-0.0935565530240698
0.169,26.43622855368048,0.14223338622553838,1.3446122954856483,-12.298587708135555,-4.969941459530473,-0.09328499771218897
0.17,26.411312192603273,0.143582962856047,1.3495766305086168,-12.284627765630988,-4.964335022968389,-0.09302582913187114
0.171,26.386390522811283,0.14493749822765592,1.3545353716089261,-12.270699388827795,-4.958741100309435,-0.09277831099953854
0.17200000000000001,26.361463557544536,0.1462969867582828,1.3594885306268691,-12.256800886669732,-4.953159017943042,-0.09254175036432191
0.17300000000000001,26.336531309471265,0.14766142287705183,1.3644361187690424,-12.242930668308247,-4.9475881421732835,-0.09231549510644019
0.17400000000000002,26.311593790722014,0.14903080102369776,1.3693781466459347,-12.229087237261249,-4.9420278768923955,-0.09209893157675948
0.17500000000000002,26.286651012921624,0.15040511564800507,1.3743146243073217,-12.215269185904926,-4.936477661386947,-0.09189148236980371
0.176,26.26170298721944,0.15178436120928065,1.379245561275591,-12.201475190280103,-4.930936968269257,-0.09169260422278619
0.177,26.236749724317644,0.15316853217585777,1.3841709665771182,-12.187704005195844,-4.925405301527207,-0.09150178603386945
0.178,26.211791234228958,0.15455762302759726,1.3890908517394902,-12.173961878828965,-4.919885162371915,-0.09132167649734291
0.179,26.186827526253115,0.15595162825697023,1.3940052293729777,-12.160251511524761,-4.9143776334874385,-0.09115343274049167
0.18,26.161858609498488,0.1573505423636572,1.3989141066869792,-12.146559394089602,-4.908877314001571,-0.09099137079581132
0.181,26.13688449275088,0.15875435985419123,1.4038174905340344,-12.132884630657069,-4.903383847055084,-0.09083512266002991
0.182,26.11190518449274,0.16016307524162235,1.4087153874311078,-12.119226378794938,-4.897896897073461,-0.09068434220173287
0.183,26.08692069292122,0.16157668304520198,1.4136078035796218,-12.10558384635942,-4.892416148513933,-0.09053870388422224
0.184,26.061931025965148,0.1629951777900863,1.4184947448843066,-12.091956288531046,-4.886941304684854,-0.09039790156148408
0.185,26.036936191301024,0.16441855400705724,1.4233762169709399,-12.078343005021846,-4.8814720866333134,-0.09026164734316212
0.186,26.01193619636803,0.16584680623226028,1.428252225203037,-12.064743337444185,-4.876008232097106,-0.0901296705246453
0.187,25.98693104838214,0.16727992900695784,1.4331227746975546,-12.051156666832174,-4.870549494517495,-0.09000171657871121
0.188,25.961920754349393,0.1687179168772975,1.4379878703396638,-12.037582411306852,-4.865095642109216,-0.08987754620512156
0.189,25.9369053210784,0.17016076439409417,1.4428475167966484,-12.024020023877124,-4.859646456984558,-0.08975693443503552
0.19,25.91188475519203,0.17160846611262515,1.4477017185309768,-12.010468990368633,-4.854201734328404,-0.08963966978709716
0.191,25.88685906313848,0.17306101659243775,1.452550479812598,-11.996928827473372,-4.8487612816213455,-0.08952555347228545
0.192,25.861828251201615,0.17451841039716826,1.4573938047305062,-11.983399080912996,-4.843324917908092,-0.08941439864473594
0.193,25.836792325510704,0.17598064209437186,1.462231697203615,-11.969879323709538,-4.837892473108658,-0.08930602969601868
0.194,25.811751292049582,0.17744770625536285,1.4670641609909847,-11.956369154557185,-4.832463787369802,-0.0892002815903047
0.195,25.78670515750861,0.17891959744583077,1.471891190467931,-11.94284511251917,-4.827029476946338,-0.08908718644274886
0.196,25.76165392839582,0.18039631023245115,1.476712786620372,-11.929323728214746,-4.821596152440835,-0.08897376360959083
0.197,25.736597610955048,0.18187783918598033,1.4815289535291902,-11.915812739156246,-4.816166908818146,-0.08886330566003033
0.198,25.711536211275487,0.18336417888108444,1.4863396951041163,-11.902311715688302,-4.810741574926169,-0.08875563544653996
0.199,25.686469735300886,0.18485532389617854,1.4911450150940977,-11.888820254183054,-4.805319989981458,-0.08865058656799989
0.2,25.661398188838255,0.18635126881327557,1.4959449170970431,-11.875337975474185,-4.799902002945432,-0.0885480027282576
0.201,25.636321577565983,0.18785200821784456,1.5007394045689806,-11.861864523383497,-4.794487471937444,-0.08844773713227783
0.202,25.61123990704146,0.18935753669867722,1.5055284808326632,-11.848399563334715,-4.789076263682598,-0.08834965191776739
0.203,25.58615318270831,0.19086784884776287,1.5103121490856555,-11.83494278104926,-4.783668252992214,-0.08825361762010922
0.20400000000000001,25.56106140990306,0.1923829392601708,1.5150904124079307,-11.821493881319618,-4.778263322275192,-0.08815951266888877
0.20500000000000002,25.535964593861532,0.19390280253393982,1.519863273769009,-11.80805258685533,-4.772861361078316,-0.08806722291398116
0.20600000000000002,25.510862739724747,0.1954274332699745,1.524630736034663,-11.794618637197708,-4.767462265653927,-0.08797664117963298
0.20700000000000002,25.485755852544507,0.19695682607194773,1.5293928019732164,-11.781191787699175,-4.7620659385533335,-0.08788766684487737
0.20800000000000002,25.460643937288634,0.19849097554620918,1.5341494742614608,-11.767771808563365,-4.756672288244427,-0.08780020544872788
0.209,25.435526998845905,0.20002987630169938,1.5389007554902128,-11.754358483942523,-4.751281228752122,-0.0877141683187531
0.21,25.410405042030614,0.2015735229498689,1.543646648169533,-11.740951611088848,-4.745892679320285,-0.08762947222166224
0.211,25.38527807158696,0.20312191010460254,1.548387154733627,-11.727550999556565,-4.740506564093869,-0.08754603903462187
0.212,25.360146092193077,0.204675032382148,1.553122277545447,-11.714156470451792,-4.735122811820082,-0.08746379543608815
0.213,25.335009108464842,0.206232884401049,1.5578520189010143,-11.700767855727321,-4.72974135556745,-0.08738267261500744
0.214,25.30986712495948,0.20779546078208247,1.562576381033476,-11.687384997519835,-4.724362132461787,-0.0873026059973833
0.215,25.284720146178913,0.20936275614819938,1.567295366116914,-11.6740077475268,-4.718985083437961,-0.08722353498906855
0.216,25.259568176572888,0.2109347651244693,1.5720089762699208,-11.660635966420967,-4.713610153006655,-0.08714540273396937
0.217,25.234411220541954,0.21251148233802825,1.5767172135589558,-11.647269523300047,-4.70823728903512,-0.087068155886651
0.218,25.209249282440247,0.21409290241802975,1.581420080001497,-11.633908295169606,-4.7028664425411755,-0.08699174439856101
0.219,25.18408236657806,0.21567901999559874,1.5861175775689966,-11.620552166457149,-4.697497567499633,-0.08691612131705984
0.22,25.158910477224296,0.2172698297037884,1.590809708189657,-11.60720102855559,-4.692130620660418,-0.08684124259648178
0.221,25.133733618608776,0.21886532617753943,1.5954964737510346,-11.59385477939429,-4.686765561377678,-0.08676706692054062
0.222,25.108551794924367,0.2204655040536419,1.6001778761024839,-11.58051332303614,-4.68140235144927,-0.08669355553541763
0.223,25.083365010328972,0.22207035797069935,1.6048539170574498,-11.567176569298983,-4.676040954965934,-0.08662067209285776
0.224,25.058173268947492,0.22367988256909496,1.6095245983956195,-11.55384443340012,-4.670681338169672,-0.0865483825027657
0.225,25.0329765748735,0.2252940724909599,1.61418992186494,-11.54051683562231,-4.66532346932068,-0.0864766547946252
0.226,25.007774932171003,0.2269129223801434,1.6188498891835124,-11.527193701000176,-4.659967318572416,-0.08640545898733651
0.227,24.982568344875908,0.22853642688218478,1.6235045020413665,-11.513874959025618,-4.654612857854241,-0.08633476696687684
0.228,24.95735681699754,0.2301645806442869,1.6281537621021278,-11.500560543371275,-4.649260060761241,-0.08626455237139447
0.229,24.93214035251999,0.23179737831529149,1.6327976710045786,-11.487250391630827,-4.643908902450763,-0.0861947904832411
0.23,24.90691895540341,0.23343481454565562,1.637436230364124,-11.47394444507511,-4.6385593595452566,-0.08612545812754804
0.231,24.881692629585192,0.2350768839874298,1.642069441774165,-11.460642648423226,-4.633211410041076,-0.08605653357696028
0.232,24.85646137898114,0.23672358129423718,1.6466973068073878,-11.44734494962762,-4.627865033222857,-0.0859879964621629
0.233,24.831225207486476,0.23837490112125415,1.6513198270169709,-11.434051299672415,-4.622520209583174,-0.08591982768787182
0.234,24.805984118976863,0.24003083812519185,1.655937003937718,-11.42076165238394,-4.617176920747043,-0.085852009353868
