Tiempo (s),Ángulo (grados),Posición del Carro (m),Velocidad del Carro (m/s),Fuerza (N)
1.37,0.29493350130105195,4.883354550468418,4.665364201820146,-3.297250053076411
1.3800000000000001,0.32381308308213164,4.929926994496355,4.657244402793634,-3.2479004892525225
1.3900000000000001,0.34882814384097405,4.976419798703004,4.649280420664938,-3.1855764209382604
1.4000000000000001,0.37010449824084785,5.022834804862875,4.641500615987066,-3.111908376966922
1.41,0.3877800345910537,5.069174143453845,4.633933859096976,-3.0266921873729817
1.42,0.40199373952885104,5.115440095366832,4.6265951912987315,-2.935459272702682
1.43,0.4128951975240196,5.161635163963739,4.619506859690723,-2.8353271864402316
1.44,0.4211145945652212,5.207768022023371,4.613285805963237,-2.4884180093168564
1.45,0.4271135590993681,5.253847301072421,4.60792790490494,-2.1431583265012875
1.46,0.43125574548429135,5.299880406584768,4.603310551234713,-1.8469402826852275
1.47,0.433849314983789,5.3458736549486545,4.5993248363886945,-1.5942853256087055
1.48,0.4351544964603722,5.391832411224717,4.59587562760627,-1.3796832380594501
1.49,0.43539128475693817,5.437761229408998,4.592881818428022,-1.197523576815123
1.5,0.43474484573409305,5.4836639650382795,4.5902735629281795,-1.043302183933029
1.51,0.43334842362977943,5.52954359534504,4.587963030676075,-0.9242129002950951
1.52,0.43122303874095114,5.5754013979324535,4.585780258741332,-0.8731087516703958
1.53,0.42842906858957763,5.621238588184499,4.583719025204593,-0.8244933449387578
1.54,0.42502357577764555,5.667056326243661,4.5817738059161455,-0.7780875793157486
1.55,0.42106009584272575,5.712855716030073,4.579938978641193,-0.7339306949214195
1.56,0.41658895079941444,5.758637808275969,4.578209224589667,-0.6919013189897577
1.57,0.41165741931165795,5.804403603126232,4.576579485026306,-0.6518954338486707
1.58,0.40630992803953575,5.850154052895026,4.575044976879329,-0.6138027775658782
1.59,0.4005882101542481,5.895890064492084,4.573601159705787,-0.5775263013644912
1.6,0.3945313848735348,5.941612500773163,4.572243628107827,-0.5430119893439083
1.61,0.38817617591542064,5.98732218331243,4.570968253926741,-0.5101489474304302
1.62,0.3815568736460473,6.033019892444061,4.569770913163151,-0.47893551301801013
1.6300000000000001,0.374705652662725,6.078706370902038,4.568647845797724,-0.44922609479681075
1.6400000000000001,0.36765272067146954,6.124382326555059,4.567595565302085,-0.42091129677907846
1.6500000000000001,0.36042636072509354,6.170048433517174,4.566610696211469,-0.3939466936631335
1.6600000000000001,0.3530530461297546,6.215705333654753,4.565690013758013,-0.36827200659760967
1.67,0.34555753337753575,6.261353637968579,4.564830431382597,-0.3438319518227734
1.68,0.3379629510232255,6.306993927902239,4.5640289933660005,-0.32057419297443374
1.69,0.33029087942150726,6.352626756528828,4.563282862658886,-0.2984512615945291
1.7,0.32256169240845395,6.398252653016221,4.562589648739261,-0.2772845461640834
1.71,0.3147942787859247,6.443872120379144,4.561946736292245,-0.25716396325605534
1.72,0.30700619822675135,6.489485636488129,4.561351610898491,-0.23804915399535803
1.73,0.2992137509291803,6.535093655091141,4.560801860301196,-0.21989925269458724
1.74,0.291432041033879,6.580696606774771,4.560295168363025,-0.20267581089911227
1.75,0.28367503277657463,6.626294899827002,4.55982930522303,-0.18634431740305593
1.76,0.27595559682867554,6.671888920956158,4.5594021129155555,-0.17087601346379297
1.77,0.26828550586348315,6.717479035334104,4.559011437794596,-0.15626917062541232
1.78,0.26067560743214285,6.763065588661795,4.558655332769173,-0.14244116630911813
1.79,0.25313584188598454,6.808648907965262,4.5583319303467045,-0.1293601606462909
1.8,0.2456752856524816,6.854229302298242,4.558039433297951,-0.11699804783052502
1.81,0.23830220544313682,6.899807063561103,4.557776126286117,-0.10532207046046332
1.82,0.23102410046509878,6.945382467216244,4.55754036551412,-0.09430361226885638
1.83,0.22384774439280453,6.990955772974469,4.557330575822515,-0.08391521786287212
1.84,0.2167792256128484,7.036527225457959,4.557145248349061,-0.07413036806561932
1.85,0.20982398433750882,7.08209705482356,4.556982936560073,-0.06492413119590679
1.86,0.2029868504961944,7.127665477389822,4.556842256626252,-0.056271425281006045
1.87,0.1962720803568271,7.173232696256036,4.556721886621449,-0.04814748887669265
1.8800000000000001,0.18968338950741215,7.218798901879046,4.556620562300901,-0.04052924927543041
1.8900000000000001,0.1832239849699062,7.264364272631027,4.556537075198091,-0.033394395057484455
1.9000000000000001,0.17689659591073403,7.309928975338858,4.556470270783142,-0.026721351472288216
1.9100000000000001,0.17070350258838105,7.3554931658004,4.556419046154248,-0.02048946721934545
1.92,0.16464658467906812,7.401056989542302,4.556382374190204,-0.014668430011630663
1.93,0.15872734709079994,7.446620582378843,4.556359283654088,-0.009235886106958397
1.94,0.15294680084968268,7.492184069081735,4.556348670289217,-0.004245043398917009
1.95,0.14730573277373352,7.537747566327315,4.556349724558041,0.00042198577095466436
1.96,0.1418046176486,7.583311182564205,4.5563616236889795,0.004759907769128386
1.97,0.13644361452148612,7.628875017918849,4.556383535464438,0.008764944163212855
1.98,0.13122260244317532,7.674439164614559,4.5564146695709535,0.012453856570367084
1.99,0.12614120093147912,7.720003707372118,4.5564542757559146,0.015842669290782305
2.0,0.12119878940193649,7.765568723794075,4.556501642195719,0.018946753879645693
2.0100000000000002,0.11639452580603216,7.811134284736232,4.55655609421569,0.021780969855114005
2.02,0.11172736432788166,7.856700454665417,4.556616992918563,0.02435962812643905
2.0300000000000002,0.10719607220405114,7.902267292003861,4.556683733844364,0.026696503551407486
2.04,0.10279924569755353,7.947834849460473,4.556755745661195,0.02880484730072164
2.05,0.09853532525614146,7.993403174349338,4.556832488886551,0.030697399071783385
2.06,0.0944026102002737,8.038972308899712,4.556913455037347,0.03238655857230334
2.07,0.09039927246346231,8.08454229055276,4.5569981653047265,0.033884195433001654
2.08,0.08652336882105273,8.130113152236204,4.5570861683444575,0.035201295445766896
2.09,0.08277285324825068,8.175684922634481,4.557177039827724,0.0363486647195141
2.1,0.07914558841675999,8.22125762644764,4.557270381315821,0.0373366592439775
2.11,0.07563935654188528,8.266831284639279,4.557365819163916,0.03817519651410193
2.12,0.07225186960494413,8.312405914673818,4.557463003453804,0.038873767130077584
2.13,0.06898077897524335,8.357981530743373,4.557561606955599,0.03944144637128419
2.14,0.06582368445529793,8.403558143984556,4.557661324118288,0.03988690573984135
2.15,0.06277814277240862,8.449135762685447,4.557761870089043,0.04021842446724284
2.16,0.059841675539157056,8.49471439248306,4.557862979761196,0.04044390097587779
2.17,0.057011776760441675,8.540294036552268,4.557964406920826,0.04057089232591761
2.18,0.054285920384849716,8.585874695792722,4.558065924045391,0.04060687503349404
2.19,0.051661565853628875,8.631456368990033,4.558167319731127,0.04055829657576982
2.2,0.0491361644020685,8.677039052978007,4.558268398797325,0.04043164614381938
2.21,0.04670716468586796,8.722622742792767,4.558368981475996,0.040233088796859696
2.22,0.04437201800074221,8.768207431819055,4.558468902628764,0.03996847635326591
2.23,0.042128172527948024,8.813793111795524,4.558567997646837,0.039638020622309304
2.24,0.03997306802364118,8.859379772778697,4.558666098317296,0.0392402799307223
2.25,0.037904172371598426,8.904967403620969,4.558763084227282,0.03879437428143524
2.2600000000000002,0.03591897573055897,8.9505559920849,4.558858846393108,0.03830487532503813
2.27,0.03401499381074696,8.99614552495112,4.5589532866220415,0.037776099424666025
2.2800000000000002,0.032189770857128416,9.041735988120108,4.559046316898868,0.03721211757347669
2.29,0.030440882438886437,9.087327366709136,4.559137858902898,0.03661680756596936
2.3000000000000003,0.028765937776827517,9.132919645141408,4.559227843227186,0.035993734887355314
2.31,0.02716258526931606,9.178512807272512,4.559316213110346,0.03534795774924206
2.32,0.025628536367051813,9.224106836760129,4.559402948761639,0.034694264400118316
2.33,0.024161530011282746,9.269701716764759,4.559488000463044,0.03402068391741559
2.34,0.022759344250659976,9.315297430022042,4.559571325728294,0.033330108994646765
2.35,0.021419797705545564,9.360893958910447,4.559652888840529,0.03262524738617681
2.36,0.020140750841468574,9.406491285514551,4.559732660410476,0.03190863012066511
2.37,0.01892010706321663,9.452089391684098,4.559810616954616,0.031182619492975787
2.38,0.01775581364059498,9.497688259089026,4.5598867404927645,0.03044941683207152
